xMercuryAtSun,yMercuryAtSun,xVenusAtSun,yVenusAtSun,xEarthAtSun,yEarthAtSun,xMarsAtSun,yMarsAtSun,xMoonAtEarth,yMoonAtEarth,xPhobosAtMars,yPhobosAtMars,xDeimosAtMars,yDeimosAtMars
5553396,-68514526,-19777367,-106840570,82580683,122669197,-219989523,116759946,33451,363015,-8225,2492,1798,-23195
8894005,-67856073,-16815177,-107361916,80392464,124077843,-220885951,115086124,-59179,359526,-7351,-5058,-19676,-8910
12207457,-66990604,-13840007,-107800390,78179557,125448720,-221768238,113404935,-148035,334104,-1589,-9219,-12105,18540
15483115,-65917886,-10854158,-108155688,75942559,126781364,-222636330,111716488,-227740,288390,5234,-7035,13330,18613
18710079,-64637995,-7859937,-108427571,73682087,128075306,-223490174,110020892,-293646,225355,8343,109,19076,-8797
21877159,-63151342,-4859656,-108615863,71398777,129330079,-224329716,108318256,-342140,148991,5519,7186,-3376,-23209
24972842,-61458714,-1855630,-108720452,69093289,130545216,-225154904,106608689,-370831,63946,-1166,9283,-20841,-3338
27985272,-59561315,1149824,-108741290,66766305,131720261,-225965686,104892302,-378600,-24829,-7094,5125,-7548,21467
30902222,-57460817,4154395,-108678391,64418529,132854771,-226762011,103169205,-365565,-112415,-8355,-2417,16887,14572
33711067,-55159422,7155768,-108531835,62050690,133948319,-227543830,101439508,-332974,-194192,-4101,-8349,16373,-13839
36398771,-52659927,10151635,-108301762,59663531,135000495,-228311091,99703322,-283045,-266073,2905,-8610,-8340,-21806
38951864,-49965799,13139694,-107988378,57257815,136010913,-229063747,97960759,-218777,-324678,7854,-2856,-20736,2440
41356432,-47081271,16117648,-107591950,54834317,136979209,-229801749,96211929,-143735,-367447,7211,4927,-2532,23086
43598115,-44011434,19083212,-107112809,52393822,137905042,-230525050,94456945,-61825,-392696,1478,9261,19411,9643
45662112,-40762354,22034109,-106551348,49937124,138788097,-231233601,92695918,22910,-399615,-5295,7275,12667,-18039
47533195,-37341193,24968078,-105908022,47465022,139628080,-231927358,90928961,106474,-388222,-8571,449,-12794,-19074
49195746,-33756353,27882869,-105183346,44978318,140424722,-232606274,89156186,185058,-359290,-6211,-6666,-19366,8068
50633811,-30017622,30776249,-104377898,42477817,141177773,-233270304,87377706,255146,-314265,283,-9308,2642,23297
